Date,Cases
15 February 2020,0
23 February 2020,3
02 March 2020,6
10 March 2020,62
18 March 2020,169
26 March 2020,729
03 April 2020,3058
11 April 2020,7189
19 April 2020,17695
27 April 2020,29451
05 May 2020,49400
13 May 2020,78055
21 May 2020,118226
29 May 2020,173491
06 June 2020,246622
14 June 2020,332783
22 June 2020,440450
30 June 2020,585792
08 July 2020,769052
16 July 2020,1005637
24 July 2020,1337022
01 August 2020,1751919
09 August 2020,2214137
17 August 2020,2770824
25 August 2020,3442532
02 September 2020,4234416
10 September 2020,5160320
18 September 2020,6234846
24 September 2020,6832614
